"","id. Response_ID","GamesAsArt?Y/N","DescriptionOfExperience","GameTitle","WhyIsThisExperienceArt?","LongAgo. How_long_ago_di.._","PlayedBefore. Have_you_played.._","TimeToExperience. Where_in_the_ga.._","TimeToExperience[other]. Where_in_the_ga..__[Other]","Meaning. Thinking_back_t.._","EffectOnGameYN. Did_this_experi.._","effectongame. Please_elaborate:","EffectPersonalYN. Did_this_experi.._","effectpersonal. Please_elaborate:","EffectOnMediumYN. Did_this_experi.._","EffectOnMedium. Please_explain_.._","IntentionYN. Do_you_think_yo.._","Intention. Please_explain_.._","EXPInOtherArtYN. Did_you_ever_ex.._","ExpInOtherArtType. What_form_of_me.._","ExpInOtherArtType[other]. What_form_of_me..__[Other]","ExpInOtherArt. Please_describe.._","NoExperienceYN. Do_you_think_di.._","NoExperience. Please_explain_.._","FavGames[Fav1]. Please_name_up_..__[1]","FavGames[Fav2]. Please_name_up_..__[2]","FavGames[Fav3]. Please_name_up_..__[3]","FavGames[Fav4]. Please_name_up_..__[4]","FavGames[Fav5]. Please_name_up_..__[5]"
"94",348,"Yes","I experience it as art when it creates a sense of ambience and relaxation, when the colours and artwork of the game make you feel like you're fully experiencing a sense of peace. When the music in conjunction with the pictures, colour, and general feeling run smoothly and you just appreciate the whole aesthetic","Animal Crossing","The details of the characters, the music, the peaceful setting, the sense of relaxation it brings when playing","<2 months ago","Yes","During the general gameplay",NA,"I think it meant that i was able to experience some level of mindfulness and peace whilst playing a game","No","I think i have always viewed it in this way","Yes","I think it affects me in that it makes me feel better about myself","No","I think the games i play generally have this impact","Yes","Because the whole aesthetic of this version of animal crossing is to elicit a sense of escapism","N/A",NA,NA,NA,"N/A",NA,"Animal Crossing","Stardew Valley","Little big planet","super mario bros","Diner Dash"
"95",353,"Yes","I was watching a Twitch stream, so someone else was playing the game. I remember being completely fascinated by the visual aesthetics: it was somewhat dark and gloomy, yet so magically beautiful. My thoughts at that moment went to Kants descriptions of sublime: it was threatening and dangerous, yet beautiful. i knew if i were playing i would be nervous and stressed to do well, but i found the graphics to be incredibly enchanting, even dreamy. The setting was nature, with a lot of contrast between light and dark, some sharp edges and cloud-like appearance of the lighter areas, with tiny specs of light floating around. I felt nervous excitement about the game play and calm serene feeling at the same time due to graphics. My focus was torn between wanting the character to perform well and the admiration of visual aesthetics. There were mostly two feelings, a discrepancy between both, I was afraid and mesmerized at the same time.
(When I later played the game myself, I had the same feeling, but not as intense due to more exposure.)","Ori and the blind forest","The visual aesthetics combined with the purpose of the game. the graphics really succeeded in setting the overall feeling.","2-11 months ago","No","During the general gameplay",NA,"I understood it as philosophy applied to a game, it made me think about something that is a past-time activity as having a deeper, more profound meaning.","Yes","it made me want to play it","No","no.","No","not really, i always found games fun and have appreciated their visual impact and the work that goes into creating games.","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"Starcraft II","Super mario bros","skyrim","hearthstone","age of empires"
"96",358,"Yes","I experienced the game Night in the Woods as art, both as a whole, and in individual moments. I felt that the game very profoundly captured the experience of living in a small provincial town without prospects, and that the game as a whole, in its mechanics, its narrative, its visuals, combined to capture and express this, and then to transform this into an object of reflection. The game is simple in its visuals and mechanics, but these are well tailored to create an experience: the light platforming and movement mechanics helped me to physically identify with the main character, and encouraged me to explore the town and know people. And the experience of this was of aimlessly going for a walk like I would have in my own home town. I think this physical identification helped create space for a psychological identification with a complex and troubled character, meaning that narrative choices felt weighty. In conversations with ""my"" family I wanted to make them happy, but also felt the tension between this and living as ""myself"" in this town, under these emotionally difficult conditions.  The choices in the game are all about building and maintaining relationships, developing and maintaining your identity - they do not affect your ""progress""  or achievements as such - this captures something fundamental about daily life I think - most of our choices are like this. Again the game aestheticises and transforms this feature of life to make it an object of reflection. 


When playing the game I thought a lot about relatively early cinema and the way it was creating a language for itself, and about how exciting some of the moments of discovery and creation, and creative overreach in those films can be. There were some genuinely electrifying moments in the game where I could see a distinct language for games being created in a similar way. In this case a language of agency and constraint: the game uses this inherent tension in the medium of gaming to dramatise experience of trappedness, illusions about our own agency, and the consequences of seemingly minor decisions. 
The light platforming and exploration element is again important in this - it brings an element of freedom and agency into an otherwise quite scripted genre (effectively point and click narrative adventures) and this sets up a really effective tension between freedom and narrative constraint. A fairly simple game mechanic is introduced in a way that supports and expresses the themes and experience of the art.
There is a scene at a party which captures this well - the character does not want to drink - she is nervous of the party and nervous of her own behaviour if she drinks too much. But you can only progress through the scene by drinking.  If you do not drink you run out of interactions and ways to pass time - you have been away from these people for years, feel alienated from the town and constrained by your past behaviour with them, and have few comfortable topics of conversation. There is a genuine sense of anxiety in not wanting to go back and get another drink, combined with the knowledge that that is what you're going to do. Though this is a simple thing, the ground (in identifying with the character, creating a world) is laid so well, and the scene written so convincingly that the effect of these forced choices lands very strongly. Without the sense of freedom in the game this might have been tedious and limiting. I can't think of another work of art which captures the experience of being (banally) constrained by your own nature so well. The scene plays out with an inevitability which is sad and familiar, but aestheticised and distanced by gaming conventions. The medium and the subject are combined here in a way that could not happen in other narrative forms. And most interestingly it leverages features of gaming which some have argued make it a poor medium for narrative. It is a small part of the game, and a simple idea, but it works with the materiality and constraints of gaming as a medium, to articulate an experience quite forcefully.","Night in the Woods","The integratedness of the game - how everything (mechanics, writing, worldbuilding, art) works together to create a world and a narrative, in which very particular themes, experiences and ideas can be dealt with. The interesting tension between the way it captures and expresses an experience, and my awareness of its game-ness. That balance between expressing ideas and experiences, and keeping a distance from those things which I think is a feature of all really interesting art.","1-2 years ago","No","During the general gameplay",NA,"It articulated the way that we are often constrained by our circumstances and our history, the way that making peace with that is difficult, the way that it is hard not to blame ourselves and others for behaviours which follow from our circumstances, the ambiguity of agency in these circumstances, and its complex situatedness in a world, a set of economic conditions, and a way of life.","Yes","I think this scene was the moment which made me see these themes throughout the rest of the game.  It also made me see how simple, non technical aspects of gaming can create profound opportunities for reflection and experience, and allowed the game to act as an exemplar for me in thinking about the kind of work I want to make.","Yes","I grew up in a similar town (albeit in Britain), so it captured and helped me process my feelings about that place. It also helped me to reflect on my behaviour when younger.","Yes","It made me take games seriously as a grassroots artistic medium, rather than a bland, gate-kept big money theme park. I saw that games could articulate the experiences of people like me, be made by people not so different from me, and deal with complex issues while still speaking to a huge audience. I saw that games were becoming for a lot of people what popular music was for a while.","Yes","I've subsequently read interviews and writing by the developers and they talk about things very close to this.","N/A",NA,NA,NA,"N/A",NA,"Chrono Trigger","Night in the Woods,","A Short Hike","Zelda: Breath of the Wild","Secret of Mana"
"97",361,"Yes","The choice near the end of Part 1 of Fire Emblem: Three Houses (on the Black Eagle route) where you decide whether to side with Edelgard or Rhea. The experiences with the game's characters up to that point (in overall plot scenes, single-character support dialogues, and even small in-battle dialogue), overarching plot, and even visual/music cues made it feel like a very significant decisive moment. (In hindsight, it's a bit surprising that a statement like ""This decision will drastically alter the story."" wasn't immersion-breaking, but with the overall quiet except for a 'heartbeat' sound, it made it work. And I only just realized while writing this that at that point, the main character doesn't have a heartbeat.) The parts immediately leading up to it and reactions afterward also had excellent voice acting that were great at bringing out the right emotional effects for me. (Other, more 'meta' realizations like that I wouldn't have liked the scene nearly as much with a male main character didn't come until quite a bit later.) Also, I honestly didn't have a whole lot of doubt about what I would decide, but it still felt very heavy and significant. (I sided with Edelgard. Just so you know.)","Fire Emblem: Three Houses","I can't entirely say, since I don't have a particularly concrete definition (it strikes me as one of those frustratingly vague things like gender, and not something that can clearly be defined in a sentence or two), but it evoked at least as much emotional impact in me as other media experiences (books, movies, etc.) that I know typically are considered art, so it seems to fit to me.","2-11 months ago","Yes","Other","During a pivotal cutscene near the end of the first half of the game","Ultimately, I think it's asking both how you feel about the characters in question, and possibly more broadly about whether you will fulfill a given purpose/destiny or fight against it. I think that some real-world perspectives will inevitably also color someone's perception here (for instance, with Rhea being established as a religious leader, that would evoke your feelings about religion more generally and that would most likely play into your decision).","Yes","I was, in retrospect, impressed that a single binary choice could feel very significant and meaningful in context even when there were very few to no impactful choices throughout most of the game. It gave me a very favorable impression of the writing and I will strongly recommend the game to others.","No","It's certainly very memorable and is part of why I'd strongly recommend the game to others, but I don't know if that goes to the level of 'impact' you mean here.","No","I've been playing story-driven RPGs with significant choices for quite a while now, so I already knew all of this could be done, even if I didn't see it coming in this specific form.","Yes","There are entirely separate routes for the branching paths, so I'm sure they intended for it to be significant. I do sometimes wonder how much they expected people to lean toward each choice, however, and I'd be curious to compare that to the actual results (as well as correlations between that and various demographic facts about the people making those choices).","N/A",NA,NA,NA,"N/A",NA,"Fire Emblem: Three Houses","Dragon Age: Origins","Fallout: New Vegas","Final Fantasy Tactics","Persona 4 Golden"
"98",367,"Yes","The game gave me emotions I didn't know I could feel in a way that has lingered for over 6 years. It was a masterpiece I can only describe as art. Feelings, emotions, beauty, conflict, and the human condition all rolled into one experience.","The Last of Us","The feelings it gave me. I've never felt that way from movies or games or music. Art is the only explanation.","2-10 years ago","No","Other","The whole game.","The experience meant that there's a lot more under the surface of who I am and what video games are capable of than so many people know.","Yes","I started the game believing that it was just a game. By the end of the game, I felt fiercely protective, capable of anything, and driven in a way that nothing else has managed to make me feel since. I will always look fondly upon the game for that reason; I consider it a narrative, musical masterpiece.","Yes","I've kept quotes from the game in my everyday life. Philosophies explored by the characters are ones I remind myself when my mental health begins to fade.  It drew my family together. My parents hate video games but even they were invested in the game while watching me play it. It impacted them too.","Yes","The Last of Us has made me hold other games to a higher standard and search out games where story and music mesh in a way that make me feel things. A good example would be Ori and the Blind Forest.","Yes","Neil Druckman wanted to make a game that would tell a story and make us feel things. I follow him on Twitter and he's thrilled that so many people have experienced what he intended all along.","N/A",NA,NA,NA,"N/A",NA,"The Last of Us","Okami","Pokemon","Far Cry 3","Mario Kart 8"
"99",375,"Yes","In this game, you play a married man who leaves his wife with dementia because he can't deal with it. He meets someone while watching out for fires in the woods. During his time there he discovers a story.

The player just has to walk through and can select dialogue to continue questions etc.","Firewatch","The graphics and the story.","1-2 years ago","No","During the end",NA,"I was inspired to think about what I would do in his situation and was quite involved in the story.","Yes","Because it made me think about myself, which other games have not been able to do to such an extent.","Yes","This was the first time I really thought about what I would do with relatives should they get dementia.","Yes","I think they are a great way to experience situations and create an environment that makes you think.","Yes","I think they really wanted the players to be invested and having them think about the story. Especially with the open end.","N/A",NA,NA,NA,"N/A",NA,"Grand Theft Auto V","Beat Saber","Firewatch","Minecraft","Red Dead Redemption 2"
"100",384,"Yes","While playing the game, the combination of level design and background score just felt to be in perfect synchronicity. The way the music flowed with every action of the game made it seem as though you were drawing your own masterpiece","Journey","Level design","2-10 years ago","No","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"MLB the show","Uncharted series","Fallout new Vegas","Overwatch","Minecraft"
"101",386,"Yes","The narrative of the game is told through the environment and objects in your inventory. The game is not explicit about the deeper meanings but some side quests and cutscenes may make the story more clear. The soundtrack too is part of the artistic experience.","Dark Souls","Soundtrack, way of storytelling","2-11 months ago","No","During the general gameplay",NA,"Many of the experiences were insights to the backstories on bosses. Others were about depression, hopelessness, and dystopia.","No","It was Dark Souls","Yes","“Don’t you dare go Hollow” has become one of my personal mottos.","Yes","It was the first notable instance in which I said to myself that video games have deeper meaning beyond physical substance.","Yes","Not everyone would take the time to understand the story at a deeper meaning. You do not have to sit through cutscenes or explore the whole game.","N/A",NA,NA,NA,"N/A",NA,"Dark Souls","Skyrim","Pokémon HeartGold/SoulSilver","Super Mario 64","GTA IV"
"102",387,"Yes","I was at the top of a cliff looking over the land and it was beautiful","Legend of Zelda breath of the wild","It was just so beautiful like if I took a screenshot it would be a painting","2-11 months ago","No","During the beginning of the game",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Legend of Zelda: breath of the wild","Skyrim","Pokemon sword","Overcooked 2","Mario kart"
"103",388,"Yes","Hollow Knight felt like a masterpiece of art in the way it told its story and the world it created. It brought life to characters and a world that was entirely fiction.","Hollow Knight","I believe storytelling and creating a world are a form of art. Playing the game feels like taking part in an interactive story. I compare it to reading, but the story is conveyed differently and lets me choose.","<2 months ago","No","Other","Mid to end of the game when I had enough information to create a timeline of the events in the story and I understood the world.","It gave me a new appreciation for platformers and the way it introduced the narrative.","Yes","I compare other books, movies, TV shows and games to the storytelling of previous media and Hollow Knight has given me another perspective with which to compare.","No","I enjoyed the game a lot and could connect with others who've played.","No","I already understood the possibilities in video games, this didn't change my view but instead added another great experience to the many others.","Yes","I think they wanted to tell a story and wanted everyone who played to feel immersed and feel the grandness in the game.","N/A",NA,NA,NA,"N/A",NA,"Hollow Knight","The Witcher 3: Wild Hunt","Kerbal Space Program","DotA 2","Call of Duty: Black Ops 2"
"104",389,"Yes","In this instance, I was carrying out a quest in an MMORPG. It was a rather depressing quest in an area that was very beautiful compared with other areas in the game. I was conscripted by an elderly mother to find her four lost children. As the mother stated, each of her children are very ambitious in their own separate way; which in turn gave leads as to where they might be. As you proceed through the quest you find that each child has met his/her end in a tragic accident either guided by misfortune or recklessness. After you've collected a memento from each child's personal belongings you return to the mother bearing only these small items. The mother, so deeply saddened by the loss of her children simply passes away sparing a few short words for thanks. The quest is called ""Spirited Away"".","The Elderscrolls Online","The fact that it was able to invoke such strong emotions from me. It resembles a mother awaiting her children who are off at war, only to be returned a flag for solace. To lose everything you cared for on earth and no longer wishing to be apart of it any longer.","2-10 years ago","Yes","During the general gameplay",NA,"I think it was meant to invoke the melancholic feelings I felt during that quest. To offer a different perspective(Of the grieving mother), and to instruct those who would heed it(To think of those you love before acting recklessly).","Yes","It showed me that their game developers are capable of tackling real-world problems in the form of digital media. That they are adept at influencing their player base's opinion on real-world politics through the contrived quests.","No","Not beyond the immediate emotions, it brought.","Yes","It opened my eyes to game developers being able to massively influence a person's opinion through thoroughly crafted storytelling. It's so subtle that most people who play the games wouldn't even realize it.","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"The Elderscrolls V: Skyrim","The Elderscrolls Online","Minecraft","Doom","Rage of Mages 2 Necromancer"
"105",393,"Yes","Art is at it's base level, a media in which to invoke an emotional reaction. Hellblade was a stark and vivid example of how a video game can do this. The totality of the game; story-line, music, art design, etc had such an unique and singular message of a woman battling through grief and mental illness, in one last attempt to rescue her love. Every beat you felt the raw emotion of the main protagonist, whether through facial expressions, words or the pace of the music. You became one with her and felt what she felt; did what she did. You became personally invested in her, and her story to the point where you almost felt you had experienced everything in real life.  The whole game is grounded in reality, despite it's Norse mythology setting. It was actually designed together with clinical psychologists and their insight really helped you feel and empathise with those who suffer from metal illness, whether past or present. It is a visceral experience, which cannot fully be described in words.

Though this just describes a single, specific game. There are numerous games out there, which equally provide you this same type of experience.","Hellblade: Senua's Sacrifice","I feel I have already answered this.","1-2 years ago","No","During the general gameplay",NA,"I feel the experience was an education, to help me understand and empathise with my own mental health and those of others. It helped me de-stigmatise both the sufferer and the disease itself, by helping me contextualise what it mean't to have these types of conditions. Through this, I was able to see both the difficulties they face in greater detail, but also the strength, fortitude and struggle these people face.","Yes","It provided myself, and from what I've heard a great deal others with a greater appreciation of the game which pushed the boundaries of what a game could be [show casing mental illness to a high degree of accuracy]. It showed the whole sector that a game could address an almost taboo and prejudiced area of the human condition, and can still be successful while providing a strong, powerful and positive message.","Yes","It made me more away, and slightly more forgiving for my own mental health. It showed me that strength can still be found it this ""perceived weakness"".","No","Just added weight to my appreciation in this medium.","Yes","I saw the behind the scenes, ""making of"" special features of the game and they explicitly stated so.","N/A",NA,NA,NA,"N/A",NA,"The Last of Us","Hellblade: Senua's Sacrifice","Uncharted (all four games)","Life if Strange","Horizon Zero Dawn"
"106",398,"Yes","Nearing the end of a dialogue-based RPG, an option to make a perception check appeared apropos of nothing. Upon succeeding, My character encountered and approached the elusive ""insulindian phasmid,"" a cryptid which the game had previously led you to believe was a mere fairy tale. I was able to hold up my hand to it, and using a skill which roughly translates into imagination, i was able to speak with the phasmid. From all the dialogue with the phasmid, I felt nothing but awe towards the creature and the universe at large-- it spoke of large heady concepts like human consciousness in the voice of a small-minded animal, which gave it much more of a feeling of natural wisdom being dispensed than artificial philosophical wankery. A quote that stands out especially to me is ""The anthropods [sic] are in silent and meaningless awe of you. Know that we are watching-- when you're tired, when the vision spins out of control. The insects will be looking on. Rooting for you.""","Disco Elysium","Its sheer evocativeness, and nothing else.","2-11 months ago","No","During the end",NA,"I think it was trying to communicate that existence, particularly human existence as a sentient and intelligent life form, is terrifying but beautiful nonetheless.","Yes","Prior to this point in the game, the beauty point had been kind of buried. There was a lot of pessimistic depictions of the world and what it is like to be alive, but this moment added something of a ray of hope to the world of the game and the message it sent.","No","When I say ""no,"" I mean there hasn't been any noteworthy long-term impact on me or my outlook. Whenever I read or experience something like that, I usually internalize its message for 2-3 weeks and then revert back to my old outlooks, and this was no exception.","No","I already had other similar experiences with other games, so experiencing a game as art was not a novel experience that would change my relationship with games. And since the message of this game has basically nothing to do with games themselves, my feelings about games have remained unchanged.","Yes","The in-game dialogue is the game element which evoked the experience, which means there had to be at least some intentionality in what we would intake, if not how we would react to it emotionally. But the tone and content of the writing leads me to believe that they had a specific message and a loose emotional response in mind.","N/A",NA,NA,NA,"N/A",NA,"Disco Elysium","Hollow Knight","Celeste","Hyper Light Drifter","Shovel Knight"
"107",403,"Yes","I felt driven by a incredible story, amazing visual art and music. All mixed with gameplay, that makes you feel immersed fully on the story, and feeling empathy with the characters","The Last of Us","The immersion","<2 months ago","Yes","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"The last of us","Minecraft","Uncharted 2","Far cry 3","Age of empires 2 Forgotten Empires"
"108",405,"Yes","you start in an empty screen, everything is white. if you shoot, your gun fires paint splotches that make the room and later a medium sized map visible to you. there were multiple levels all with a different artistic choice, but the paint-the-world level was the most memorable to be because everyone world will look different depending where you want to see something. there was a sense of wonder, how clear you could see the world with just black paint splotches in a completely white map.","the unfinished swan","creative, beautiful","2-10 years ago","No","During the beginning of the game",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Apex Legends","Borderlands 2","Witcher 3","Overwatch","Fallout 4"
"109",407,"Yes","While playing The Legend of Zelda: BOTW it was clear that I was experiencing. Elements such as music, art style, ambient sound, level design, and the free roaming nature of the game helped me feel guided but also free to do as I pleased.","The Legend of Zelda: Breath of the Wild","All the elements being combined to give me this unique experience.","2-10 years ago","No","During the general gameplay",NA,"It showed me that I can explore the world at my own pace and however I wanted.","Yes","I began looking at every location as a point of interest and made it my mission to explore all the nooks and crannies of the world.","No","Nor especially","Yes","It showed me what games are capable of being","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"The Legend of Zelda: Breath of the Wild","Super Smash Bros. Ultimate","The Witcher 3: Wild Hunt","Overwatch","Super Mario Odyssey"
"110",409,"Yes","I saw the beautiful graphics and the scaling of the boss in comparison to the environment. A cloud of dust was rising around it and light was streaming through, but the boss didn't look angry or anything, it looked shocked. The world was beautiful and peaceful and I realised in that moment that I had disturbed it. That I had come there to slaughter an innocent creature just as I had so many times before. That moment made me see the game in a whole new light, it evoked emotion that no other game had before. One of a shocking clarity.","Shadow of the Colossus","The way the visuals made me shift my worldview, art is about emotion and evoking thought, and that scene did just that.","1-2 years ago","No","Other","Around the fourth or so boss fight.","I'm not entirely sure. It was very subtle but also jarring.","Yes","I stopped seeing the bosses as evil creatures I had to kill and started seeing myself as the murderer.","Yes","It happened around a time where I was trying to change for the better. It helped me to think about how each person sees themself, and to look at them for what they actually are.","Yes","It made me want to look for deeper meaning in more games.","Yes","All of these creatures are innocent, there are massive motifs of death and destruction as well as desolation strewn throughout the game.","N/A",NA,NA,NA,"N/A",NA,"The Elder Scrolls V: Skyrim","Shadow of the Colossus","The Last of Us Part 1 and 2","2064 Read Only Memories","Spore"
"111",411,"Yes","I reflected on the world created in the game and the use of the narrative and visuals to explore that world. The game is clearly able to be analyzed through the lens of post colonialism, allowing me to consider how the portrayals of fictionalized native populations relates to the real world. I considered why they chose a colonialism focused game and what their intent was--what they wanted to say or how the wanted it to be interpreted. There is a clear attempt to create something marketable, but I do feel that analysis of the game allows for us to examine the human condition or at least or expectations as a society consuming such narratives in the 21st century.","Greedfall","Art should make us think and reflect. Art should be able to be analyzed critically and should tell us something about ourselves or the person(s) who create the art--things cultural, personal, historical, etc. Art is an artifact that encodes the spectrum of our humanity and asks us to face this truth.","<2 months ago","No","During the general gameplay",NA,"I'm not sure what to answer here.","Yes","I see it as ""having something to say"" so to speak. I don't see it as merely something created to simply maximize profits in a capitalist system, although that is certainly one of the reasons it exists.","No","I attempt to analyze and classify all media I consume.","No","I've always felt that games can be art, although that doesn't mean that I consider all games to be art.","Yes","The narrative is one of the main drivers of an RPG and they were clearly aware that they would have to address colonialism in a game centered around it. The main character is emblematic of this. He is raised as a colonizer but later discovers that he is a ""native"" that was stolen from his people and had his heritage erased. He must decide between these two sides of himself--the heritage of a ""native"" and the cultural identity of the colonizers.","N/A",NA,NA,NA,"N/A",NA,"Pokémon Sword","Chrono Cross","Eternal Darkness: Sanity's Requiem","Final Fantasy XIV","Baten Kaitos: Eternal Wings and the Lost Ocean"
"112",416,"Yes","It was a thought and emotion provoking experience. It called to mind the feelings of workday life like monotony and powerlessness. It also evoked a feeling of curiosity and discovery and fear of the unknown or of change.","Every day the same dream","Like a film or book, it was clearly intended to elicit an emotional response and tell a story. Unlike some other games, the story was not there to connect the gameplay: rather, the gameplay was there to advance the story.","2-10 years ago","No","During the general gameplay",NA,"It was an intentional manipulation of my feelings and thoughts","Yes","I came to view it as provocative","No","No","Yes","Suggested they can be ""high"" conceptual or emotional works","Yes","This experience is characteristic of the game","N/A",NA,NA,NA,"N/A",NA,"Civilization 5",NA,NA,NA,NA
"113",418,"Yes","When I played this game, I was immediately awestruck by it's simplistic beauty--both visually and audibly. The storyline could also be considered a work of art, albeit somewhat abstract. It made me feel contemplative, happy, sad, and nostalgic. Because it is a puzzle-based game, it made me think about the solution. Sometimes it was sort of frustrating, but I also played it while I was laying in bed, about to sleep. Otherwise, everything about this game could be considered art, from the visuals and music to the story and puzzles.","Monument Valley","Anything can be art. This game was so beautiful and made me feel things, so I considered it to be art.","<2 months ago","No","Other","From beginning to end","I don't think the experience truly meant much, in all honesty. It made me think about somewhat unrelated topics, yes, but the experience itself is what triggered me to think about them in the first place.","No","Parenthood","No","It did not effect me personally.","No","I know video games can be beautiful and artistic. I was expecting it from monument valley due to the reviews.","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"Skyrim","Fallout 4","Mass Effect Andromeda","Hearthstone","Magic The Gathering Arena"
"114",420,"Yes","I experienced a story of humanity making their way in a new world, along with all of the wonder and fear and mundanity that would be a part of the experience. There was so much to explore, and stories that at first seemed unrelated but then came together later on. It wasn't so much about the characters, but was more about the sheer awe of exploring a planet for the first time, venturing into the unknown with no idea what you'll find. Some things are beautiful, some things are dangerous, some things are both.","Xenoblade Chronicles X","It made me feel things.","2-11 months ago","Yes","Other","Every time I played it","I don't know how to answer that. Do all experiences have to mean something?","Yes","Well, I felt this way about the entire game. So yes, how I felt about playing the game affected how I felt about the game.","Yes","It definitely made me binge play the game. I also became more interested in ""sci-fi"" stories than I used to be.","No","I already view video games as art and am aware of the potential of the medium.","Yes","I mean, open world, new planet, humans crash landed and exploring—it's pretty clear. But also, the characters talk about it A LOT.","N/A",NA,NA,NA,"N/A",NA,"Dark Cloud 2","Zelda: Breath of the Wild","Xenoblade Chronicles X","Phoenix Wright: Ace Attorney","Broken Age"
"115",424,"Yes","So part of the game is running around trying to revive these trees, and so this cutscene plays out a few times throughout the game. However, it sticks out to me so much because before the trees are revived, the land is barren and grotesque and even fearsome at points, but when you revive the tree an animation plays where the tree quickly blooms and flowers/green grass/buildings sprout through the land. Accompanying it all is this excellent soundtrack and panorama of the newly-revived land. It makes goosebumps ripple throughout my body no matter how many times I see it.","Okami","It evoked some sort of feeling in me. To be art, it has to be able to make people feel things at the bare minimum.","1-2 years ago","Yes","During the general gameplay",NA,"I can't honestly tell you","Yes","The game is already impossibly masterful and well-polished, but seeing the cutscene for the first time just cemented to me how good it really was","No","Cool cutscene, not really emotionally jarring","No","I already really like digital games and I know there are others out there like Okami","Yes","It's a good game with a lot of thought and care put into it.","N/A",NA,NA,NA,"N/A",NA,"Okami","Pokemon Diamond/Pearl/Platinum","Borderlands 2","the Witcher 3","The Last of Us"
"116",427,"Yes","i finished a game and felt like i had been through a journey of emotions  through its narrative. 
","fire emblem three houses","art to me means that it brings me on a journey and makes me feel. this game brought me on a journey through its narrative and made me feel for the characters. it had its opinion on the subject matter.","<2 months ago","No","During the end",NA,"it was the end of the story where everything was revealed. i expect the writers wanted it to be a revelation for players","Yes","it made the game feel so much deeper than i had already experienced. things that were hinted in the beginning were explained and i felt a sense of “oh my god thats what they meant”","Yes","it was such a long 50+ hour story where i really bonded with the characters and learned so much more about them. seeing them at the end was like seeing friends leave","No","i’ve played games that focused heavily on narrative in the past. i’ve felt the same playing other narrative driven games","Yes","the game is supposed to be very narrative driven and the story, story mechanics, and characters were designed to make the player bond and empathise with them","N/A",NA,NA,NA,"N/A",NA,"fire emblem three houses","animal crossing new horizons","persona 4","halo reach","the witcher 3"
"117",429,"Yes","The game I played was art by cause it was designed as a slow and calm experience, giving the opportunity for reflection. The graphics used were simplistic but communicated the ideas effectively. It communicated visually a story that made me think about and reflect upon the passage of time and life, all within the five to 10 minutes of playing the game. The interaction was minimal in the game, but a couple of key choices define how the game progresses.","Passage","Likely because it was presented to me in the context of an example of a video game as art. But I accepted this because it was a very different type of experience delivered in such a simple and effective package.","1-2 years ago","No","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"BOTW","Civ 5","Borderlands 2","Thimbleweed Park","Curious Expedition"
"118",431,"Yes","I was about 13, around 1999 or 2000 and games were mostly digital toys to spend your time with. I discovered a text adventure with minimal gameplay
that was cutting between several different ""situations"", like scenes in a movie - you did have some agency, but far as I remember other situations were
about waiting only.","Photopia by Adam Cadre","This game felt like art because it questioned the authority of the player, you WERE playing, but then also not really, that was very new
to me at the time, where most games had pretty clear rules and objectives and influences from other media forms were unheard of",">10 years ago","No","During the general gameplay",NA,"It meant suddenly seeing ""common"" and simpler computer games as not much more than reaction tests, okay, maybe this sounds a bit too extreme
","Yes","I don't understand this question","Yes","It motivated me to become to read more English works, since I'm not a native speaker and I was young at the time, learning English still was an active thing I had to do, it wasn't ""natural""","Yes","Maybe it doesn't all concentrate in one single experience, but I compare everything to the possibilites of interactive fiction and text adventures. Games with (3D) graphics often feel very limited in their player vocabulary.","Yes","It wasn't ""accidental art"", I think Adam Cadre very much intended his game as an experience and less as a classic game.","N/A",NA,NA,NA,"N/A",NA,"Shadowgate 64","Beeswing","Flower, Sun and Rain","Bronze by Emily Short","Chibi-Robo!"
